tagId,adId
3,69a829ba-e951-4737-b7de-18c2381095a5
3,69a9f014-f97f-477b-a97a-a0e02e755656
4,69aa198b-556d-4cce-9cd4-ce1a7cb4ebdb
1,69aa2f91-da4f-4859-a011-cf28829a3729
3,69ab0380-b990-40e4-9bc6-fe600f4874cb
1,69aba1f9-f202-428a-add6-8bf1c8cd07e7
1,69abb958-8719-43fe-a19b-bbed29c74320
1,69abc6d2-d283-4155-b927-fde9c8623c0a
1,69ac7a0d-82bb-4763-93f5-3a164a9890ba
4,69ac8061-ce4f-4adb-b19d-2a9c19b00d3f
4,69ad2429-9539-4ba2-a162-e005545b54c7
1,69af7a69-7c7a-4d2b-ae83-3ebd6f57f24d
1,69b01148-7c73-45ec-9bd8-5d9da400470e
1,69b159d5-c2e3-4e0d-b716-e2d71f474031
3,69b22b82-3a4e-4aba-b176-fc3cbadba97b
4,69b23748-f08f-4144-add0-2874da6308c8
1,69b2a6df-e50e-46a2-8ebf-99c6ca639d76
2,69b2e7ea-8d6c-46ce-b2f4-efc5195132bc
3,69b2e90c-e1a6-46f2-965b-21f7019dd42c
2,69b32090-8199-46a4-aa27-8c6ad58dd8e0
4,69b5352f-9834-4fdc-b970-01da1c581576
2,69b5dcba-5a08-421d-83bd-344839b6f299
1,69b5e88d-d3ab-410d-8789-9cf08cdb1de3
1,69b61a28-e8a1-4a27-baa3-ec601d45fe7f
2,69b65f9b-a3c6-440b-adaa-8b69e1bfe71c
1,69b6b014-61a1-42f1-b23e-d1e9d8740692
2,69b76aaa-486e-42f6-8d63-d63e5cf2e7c8
2,69b86a0e-c101-4f13-a401-d26825b8641f
4,69b8fa37-dc8b-45d8-bc31-18701b66bdf0
1,69b93114-8264-4c2a-9568-b06710a142f0
2,69b9647c-187b-4475-ab0d-729a0c56ab1d
2,69b9c569-5621-4335-8c3e-6af541455b4c
4,69ba1144-b516-455d-89a2-1c19b69f3930
1,69ba255b-5bcd-41c1-8f9b-a361b0430456
3,69ba384e-3e08-4c87-9a82-06158063900b
2,69ba4e03-9897-455c-8a92-0f75eec3e0dc
4,69bb3b5e-23c9-4ce2-855c-974496210ad6
4,69bb8cd7-ae0d-403f-8783-15baa8053da4
1,69bc9d18-4394-4381-8562-5a880dfb86ad
4,69bce29c-f6c6-4121-9e18-17be74fdce4c
1,69bce74c-4f87-439d-9bbf-39753a6329d4
1,69bd1295-7e9c-4ad0-8f09-ed557420b59d
1,69bd2d90-e198-467e-aa9c-fdd6701ec59a
2,69bd62e5-c7ca-40e7-a650-c3a32e13a679
2,69bd8591-7bd0-4844-b9fb-604b139f6cee
1,69bf2d7e-c69d-4635-9c24-442dd9b27c61
2,69c0fc36-bdea-428b-ae5d-10f35309ce38
1,69c1a9dc-7d2f-4da3-a22f-cb6384b0e7d1
4,69c276fc-9d6c-45a7-bbe4-f1c54817c36a
1,69c30834-e286-4611-a979-1080583454d7
3,69c3b30a-aab8-4769-a470-fa0f7cd79eba
1,69c44a6f-4adb-44c8-bf7c-37dfc01e0630
3,69c492fb-651b-4747-b9e0-dd70cb1d9f79
3,69c5941c-c3ea-415b-95b3-3a973c9e57fd
1,69c5fe1b-e0a8-473d-b7ae-fa5c8373bc12
2,69c6be75-6fe0-4bee-a7a2-6338ec830d43
2,69c70223-fc5c-414f-8aac-9e8d8e1a5250
1,69c714af-12e6-4999-9bd3-e90d70b05209
3,69c71a3c-b03a-4cdb-9021-b859bcf4cf3f
4,69c72992-c07e-40bc-b854-5f9fd8cb4015
2,69c7574c-43bc-4e5b-b088-7ebf0393d569
1,69c8158e-6142-40bf-8021-14a320ec164c
2,69c874a9-4898-4f36-9450-88abc84bea5d
2,69c89277-cd18-4b8e-a1fb-1a97cdb7f4f7
4,69c8e43a-80d9-4123-91ac-9f68db7533b2
4,69c93d5f-11d3-4d6c-b772-712cf29c1ccc
3,69c98cc3-910c-4309-9398-2bb5bd56acba
4,69ca0c55-08e7-4ca6-87fd-50c51bf42544
3,69ca8802-687b-48db-9422-850858189d18
2,69cac26c-c9b6-4c04-932a-983bbb178081
1,69cad5dd-32c4-4b5a-9939-6a3d47fe15c2
4,69cae1c8-22ed-4531-8e29-1621421615d8
2,69cbe0dc-61a5-43b7-82eb-ea7394bb95e7
3,69cc1a89-1521-4898-b1d2-fd0bf2743528
1,69cccd73-e858-42db-971a-efeed010ec31
1,69cd181a-622c-4fa7-8f72-7ad2a3abf006
3,69cd27d7-0ccc-4eb9-bdee-79f2d72e2cea
4,69cdaa19-4267-4e81-ab28-b0156a9be1cf
4,69cdb224-13db-4bfe-824a-babe57a6ae69
1,69cdf0ec-5e80-4d70-9350-0b41d9637af3
4,69ce0c7d-f23f-445b-8510-8eed5554b6ce
3,69ce3b85-7c13-4341-a7aa-a1918aea54b2
2,69ce6be5-0b92-4378-9936-61191d8848cd
3,69ceb0b0-29a5-4ca1-afc4-d296483608a4
2,69cf88db-6913-495f-9118-45b60e5a341f
2,69cf90ff-e93a-4f3f-9ddd-5187825f58d7
3,69d00c3b-5fbf-43e1-bdce-6000e8ff625c
3,69d034e7-f3e6-4d92-9ee6-9312b5e7ed94
1,69d091cb-20dc-40a9-9d97-1845e91c960f
2,69d0df35-06fd-4054-a47e-aed9ca076525
3,69d144eb-8d38-48e4-8c96-ccb26d6bd5d3
4,69d181ea-87bf-45e7-8e6c-8e6d3a84ffb3
4,69d28193-fcfa-49b5-8006-671d360e02a1
4,69d299ac-bad0-4c1c-9598-13de246d67e1
1,69d3f6eb-2557-4d36-8fc5-9d2b4dcf79a2
1,69d3f7d4-6553-4ab6-a6f4-23da2b08d9fc
4,69d48a1c-86d3-46ba-aa20-6d7d0edef7b6
4,69d54386-698f-41b3-95e5-5b38e53f1d19
4,69d546fd-e435-4fc7-a79d-b20610737597
4,69d5b658-b691-4a4e-8f3f-8fd254195c8f
4,69d93824-a24d-4c0f-91a4-be7561d49859
2,69d969bb-7c52-4908-bd65-bf01bfb4b4c1
4,69d9b7bb-51dd-4ace-a1aa-36be861d3277
4,69dab78f-bd76-47bb-b8fc-5bf8a4dc9992
2,69db5888-a56e-4f5a-a1e8-4cbc6da253dd
2,69dc8326-c4bc-4008-8eb2-76c88a1da4fb
1,69dc98eb-9aa0-411f-9faf-edd81dde5980
2,69dce09a-d804-4fec-8df9-4a318d0dcea3
3,69dd0b1f-0566-4a34-a45f-3f8d1e31d0e1
4,69dd6933-1f97-4161-9ba0-1c7b9a1d6229
2,69de001f-76a3-4ce4-ad11-d8a94ee91a53
2,69deb397-cf83-44b5-ada6-0d17b739bc00
1,69dfbb53-6eb3-43fa-9b65-cdf50770b3fa
4,69e05e2f-1e26-48b9-95af-f48595f67aaa
3,69e08341-a1d9-457b-a077-b856c6447e8d
3,69e0f2a5-73a8-4ede-82e1-b3610391d22b
3,69e22ab5-71f5-4d23-871d-98ddeee1d1da
2,69e251ca-af98-4827-9b6c-896197615beb
4,69e28d45-9c27-4fa8-a21d-91a078fd1445
1,69e2f9cd-9a5a-4d06-99b1-88b7a6da1a12
1,69e3585b-c2e7-492a-b256-3c58a537d9b6
4,69e37cec-7bcc-4684-a58e-b430882364d6
2,69e3b634-d0a1-4d3e-8533-dc3fe4cbfe46
3,69e3e0c9-9533-4c6f-a99e-07abc78b6bbc
3,69e41b41-7035-4864-9013-cf92a6a36faf
3,69e433ee-8403-446b-9d1d-04d9794e6039
3,69e47328-6062-4f9d-aa34-e938abb97efd
2,69e59b72-a49c-4987-b41a-9f48dd132e22
3,69e5adbc-f3cd-47f0-b121-c29b6f1c1afe
3,69e5bb04-a658-4f00-8135-17221984c133
1,69e5d855-d926-465b-8738-5e1020d8dac4
2,69e6bbed-bb1a-43e4-a74d-f2c46d8dc6d9
2,69e6ee88-c7e0-40b8-91d9-278e1480d725
3,69e7861f-83de-4d75-bf0a-e0954ee32ad9
4,69e7b6f0-2c09-474f-87fa-eb6875ec755c
1,69e7ffeb-8ead-4c64-b6c1-50462a1a6ba7
1,69e8b737-5eec-48dc-96fc-0df543235328
1,69e8bb87-ebcc-4d1e-940a-9f349a7d0d33
4,69e908d5-134e-4660-aa00-785c678028fd
1,69e90d7f-5546-40c5-8c87-29f9e5c3dbb0
1,69e92c28-63a0-476c-82b5-96c4e3ce9055
1,69e97939-8cf5-4dc2-bff2-3c2da1a8fd63
2,69ea895a-7eb1-47ab-9210-55d53be8a0c4
2,69eb12e6-ce2d-4b01-a470-0173416970c9
2,69eb58d2-1937-4782-aa0a-8a580f089de5
2,69ebe9d1-b602-435b-9add-907c92377c0c
4,69ec4974-7b86-4c50-8954-c5197321485d
4,69ecf54e-a38a-44a8-aeb8-17d1dddf9653
1,69ed37a0-838c-46ef-9830-fd94b08311b6
4,69ed3a08-97d7-4c0e-962f-bbdd17f5d53e
1,69ed70e5-251a-4664-8be3-c2c2e476c8f6
3,69ee2770-0e2c-4168-83d0-946d57d91c60
1,69ef3096-3e67-4e64-b9ab-83d8ad96c26b
4,69f0104c-221d-4d2d-a07f-dc04fde088e1
4,69f01d7b-4f88-4d90-8338-3bb2d7a26af2
4,69f05fe3-22c1-404b-9e2b-8965828867fd
3,69f06cfc-2c41-4257-8c3c-7bb721b8d5fc
1,69f0ca88-3877-4d65-8de5-d75b7f803051
3,69f138bd-f3b4-4a74-ac21-c7319dcedd0d
1,69f1a632-f48a-4cd6-9dd2-87f779e5a8e7
4,69f24982-c524-43dc-bc2a-0d24f4b2c11c
1,69f2b803-f307-49a8-aef7-79d57a7e115e
1,69f2e6e7-8388-422e-ba3c-2de37d7f5890
2,69f3162f-cca4-41dd-ba80-7cfff28e1e7c
2,69f34d44-09c9-4343-85d3-a97f70dbf897
4,69f35b28-79d8-48ef-88d0-8116b640fd31
1,69f38223-927b-4302-8da2-a7ed224fd214
